iter	Passed	Remaining
1271	49757	28477
1272	49794	28437
1273	49835	28399
1274	49879	28362
1275	49921	28325
1276	49962	28287
1277	50003	28249
1278	50048	28213
1279	50087	28174
1280	50125	28134
1281	50163	28094
1282	50200	28054
1283	50242	28017
1284	50279	27976
1285	50314	27935
1286	50348	27893
1287	50384	27852
1288	50420	27811
1289	50454	27769
1290	50492	27729
1291	50527	27688
1292	50557	27644
1293	50585	27599
1294	50615	27555
1295	50649	27513
1296	50679	27469
1297	50712	27426
1298	50744	27383
1299	50774	27339
1300	50804	27296
1301	50834	27252
1302	50869	27210
1303	50908	27171
1304	50954	27136
1305	50998	27100
1306	51047	27066
1307	51096	27032
1308	51143	26998
1309	51196	26966
1310	51240	26929
1311	51288	26895
1312	51333	26859
1313	51382	26825
1314	51426	26788
1315	51471	26752
1316	51518	26717
1317	51558	26678
1318	51607	26645
1319	51654	26609
1320	51699	26573
1321	51749	26540
1322	51801	26507
1323	51858	26477
1324	51916	26448
1325	51972	26417
1326	52018	26381
1327	52067	26347
1328	52116	26313
1329	52160	26276
1330	52216	26245
1331	52267	26212
1332	52311	26175
1333	52369	26145
1334	52419	26111
1335	52468	26077
1336	52518	26043
1337	52562	26006
1338	52608	25970
1339	52653	25933
1340	52703	25899
1341	52751	25864
1342	52802	25831
1343	52848	25795
1344	52887	25755
1345	52927	25716
1346	52973	25680
1347	53013	25641
1348	53058	25604
1349	53102	25567
1350	53143	25529
1351	53187	25492
1352	53227	25453
1353	53272	25416
1354	53312	25377
1355	53357	25340
1356	53397	25301
1357	53438	25263
1358	53478	25224
1359	53518	25185
1360	53551	25142
1361	53583	25100
1362	53618	25058
1363	53652	25016
1364	53684	24974
1365	53720	24933
1366	53752	24890
1367	53782	24846
1368	53812	24803
1369	53840	24758
1370	53876	24718
1371	53910	24676
1372	53946	24635
1373	53982	24594
1374	54016	24553
1375	54048	24510
1376	54075	24465
1377	54109	24423
1378	54144	24382
1379	54199	24350
1380	54240	24311
1381	54280	24272
1382	54319	24233
1383	54358	24194
1384	54394	24153
1385	54432	24113
1386	54470	24073
1387	54508	24034
1388	54544	23993
1389	54578	23951
1390	54616	23911
1391	54659	23874
1392	54701	23836
1393	54742	23797
1394	54782	23758
1395	54817	23717
1396	54854	23677
1397	54895	23638
1398	54933	23598
1399	54973	23559
1400	55009	23519
1401	55049	23480
1402	55092	23442
1403	55136	23405
1404	55173	23365
1405	55211	23325
1406	55249	23285
1407	55295	23249
1408	55334	23209
1409	55377	23172
1410	55418	23133
1411	55458	23094
1412	55502	23057
1413	55542	23018
1414	55580	22978
1415	55618	22938
1416	55659	22900
1417	55698	22860
1418	55738	22821
1419	55776	22781
1420	55810	22740
1421	55847	22700
1422	55887	22661
1423	55923	22620
1424	55959	22580
1425	55999	22541
1426	56038	22501
1427	56083	22464
1428	56121	22424
1429	56156	22384
1430	56194	22344
1431	56236	22306
1432	56276	22267
1433	56317	22228
1434	56357	22189
1435	56400	22151
1436	56438	22111
1437	56479	22073
1438	56517	22033
1439	56557	21994
1440	56603	21957
1441	56648	21920
1442	56692	21883
1443	56733	21844
1444	56774	21806
1445	56828	21772
1446	56874	21735
1447	56926	21701
1448	56984	21669
1449	57043	21637
1450	57102	21605
1451	57189	21583
1452	57256	21554
1453	57311	21521
1454	57364	21486
1455	57443	21462
1456	57499	21429
1457	57551	21394
1458	57610	21362
1459	57670	21330
1460	57715	21292
1461	57764	21256
1462	57809	21219
1463	57855	21181
1464	57906	21146
1465	57957	21111
1466	58005	21075
1467	58055	21039
1468	58103	21002
1469	58157	20968
1470	58214	20935
1471	58258	20896
1472	58300	20858
1473	58349	20822
1474	58402	20787
1475	58448	20749
1476	58493	20712
1477	58541	20675
1478	58584	20637
1479	58625	20598
1480	58670	20560
1481	58715	20522
1482	58765	20486
1483	58814	20450
1484	58859	20412
1485	58909	20376
1486	58946	20336
1487	58986	20296
1488	59025	20256
1489	59066	20217
1490	59110	20179
1491	59154	20140
1492	59196	20102
1493	59244	20065
1494	59288	20027
1495	59332	19989
1496	59371	19949
1497	59416	19911
1498	59458	19872
1499	59504	19834
1500	59552	19797
1501	59600	19761
1502	59645	19723
1503	59689	19684
1504	59732	19646
1505	59777	19608
1506	59821	19569
1507	59861	19530
1508	59899	19490
1509	59939	19450
1510	59983	19412
1511	60028	19374
1512	60072	19335
1513	60115	19297
1514	60153	19257
1515	60191	19216
1516	60236	19178
1517	60286	19142
1518	60333	19104
1519	60378	19067
1520	60418	19027
1521	60459	18987
1522	60502	18949
1523	60544	18910
1524	60584	18870
1525	60623	18830
1526	60663	18790
1527	60705	18751
1528	60748	18713
1529	60791	18674
1530	60829	18634
1531	60868	18594
1532	60908	18554
1533	60942	18513
1534	60981	18473
1535	61023	18434
1536	61059	18393
1537	61092	18351
1538	61125	18309
1539	61161	18268
1540	61204	18230
1541	61253	18193
1542	61297	18154
